Species Code,Common Name
redhea,Redhead
eucdov,Eurasian Collared-Dove
rinphe1,Ring-necked Pheasant
budger,Budgerigar
redcro,Red Crossbill
glwgul,Glaucous-winged Gull
wesowl1,Western Screech-Owl
foxspa,Fox Sparrow
norgos,American Goshawk
rudtur,Ruddy Turnstone
canwre,Canyon Wren
yebloo,Yellow-billed Loon
lotjae,Long-tailed Jaeger
snogoo,Snow Goose
comrav,Common Raven
varthr,Varied Thrush
rudduc,Ruddy Duck
easkin,Eastern Kingbird
eargre,Eared Grebe
pecsan,Pectoral Sandpiper
rufhum,Rufous Hummingbird
nopowl,Northern Pygmy-Owl
merlin,Merlin
gockin,Golden-crowned Kinglet
grtgra,Great-tailed Grackle
bcnher,Black-crowned Night Heron
baisan,Baird's Sandpiper
whtkit,White-tailed Kite
margod,Marbled Godwit
forter,Forster's Tern
leabit,Least Bittern
herthr,Hermit Thrush
astfly,Ash-throated Flycatcher
libher,Little Blue Heron
lesgol,Lesser Goldfinch
pelcor,Pelagic Cormorant
bklkit,Black-legged Kittiwake
houwre,Northern House Wren
wesblu,Western Bluebird
comyel,Common Yellowthroat
casfin,Cassin's Finch
houfin,House Finch
x00415,Greater White-fronted x Canada Goose
willet1,Willet
trokin,Tropical Kingbird
wrenti,Wrentit
wiltur,Wild Turkey
whtswi,White-throated Swift
lesyel,Lesser Yellowlegs
norwat,Northern Waterthrush
caster1,Caspian Tern
x00414,Greater White-fronted x Cackling Goose
yerwar,Yellow-rumped Warbler
comgal1,Common Gallinule
afcdov1,African Collared-Dove
x00613,Ring-necked Duck x Lesser Scaup
calthr,California Thrasher
rinduc,Ring-necked Duck
tufduc,Tufted Duck
yehbla,Yellow-headed Blackbird
rorpar,Rose-ringed Parakeet
x00682,Ring-necked Duck x scaup sp.
calgul,California Gull
amhgul1,American Herring Gull
savspa,Savannah Sparrow
pagplo,Pacific Golden-Plover
swagoo3,Swan Goose x Canada Goose
annhum,Anna's Hummingbird
chswar,Chestnut-sided Warbler
naswar,Nashville Warbler
osprey,Osprey
westan,Western Tanager
lewwoo,Lewis's Woodpecker
